dataset,model,protocol,seed,representation,subject,n_windows,n_folds_contributed,method,accuracy,macro_f1,brier,nll,ece_15,confidence_gap,aurc,error,mean_confidence,overconfidence_positive_gap,overconfidence_negative_gap
wisdm_watch_accel,cnn1d,subject_disjoint,20260917,raw_sensor_windows,wisdm_1633,324,1,raw,0.4567901234567901,0.4298909183856097,0.6833359339835925,1.611325930143605,0.13111961784738083,0.12227714222706393,0.340540743977532,0.5432098765432098,0.579067265683854,0.12227714222706393,0.0
wisdm_watch_accel,cnn1d,subject_disjoint,20260917,raw_sensor_windows,wisdm_1633,324,1,temp,0.4567901234567901,0.4298909183856097,0.7635630404795366,1.8688999672661941,0.2562569107842523,-0.24230944757733044,0.3264952938104167,0.5432098765432098,0.21448067587945965,0.0,-0.24230944757733044
wisdm_watch_accel,cnn1d,subject_disjoint,20260917,raw_sensor_windows,wisdm_1633,324,1,iso,0.4444444444444444,0.4217860078177707,0.7070896248333279,1.7732295177196469,0.1419651852846522,-0.07507181321482359,0.35028160187370266,0.5555555555555556,0.36937263122962083,0.0,-0.07507181321482359
wisdm_watch_accel,cnn1d,subject_disjoint,20260917,raw_sensor_windows,wisdm_1634,324,1,raw,0.4783950617283951,0.4415933569860677,0.6315736856739957,1.4672277030188776,0.12624704575649015,-0.0359983460310801,0.2988255795120536,0.5216049382716049,0.442396715697315,0.0,-0.0359983460310801
wisdm_watch_accel,cnn1d,subject_disjoint,20260917,raw_sensor_windows,wisdm_1634,324,1,temp,0.4783950617283951,0.4415933569860677,0.6252610615279167,1.4543926603870467,0.1172781641616618,0.014814297751660821,0.29258191304941356,0.5216049382716049,0.4932093594800559,0.014814297751660821,0.0
wisdm_watch_accel,cnn1d,subject_disjoint,20260917,raw_sensor_windows,wisdm_1634,324,1,iso,0.5061728395061729,0.45627503034406103,0.6203517939435149,1.4094797781972985,0.11113463511766407,0.059405637474043704,0.27893526403546365,0.49382716049382713,0.5655784769802166,0.059405637474043704,0.0
wisdm_watch_accel,cnn1d,subject_disjoint,20260917,raw_sensor_windows,wisdm_1635,324,1,raw,0.6080246913580247,0.53865646164922,0.5853344208751103,1.3239498524277389,0.20316638622754885,-0.2031663862275489,0.20962799819821332,0.3919753086419753,0.4048583051304758,0.0,-0.2031663862275489
wisdm_watch_accel,cnn1d,subject_disjoint,20260917,raw_sensor_windows,wisdm_1635,324,1,temp,0.6080246913580247,0.53865646164922,0.5599453365637725,1.2632555526425644,0.15774201940734173,-0.1569759095657397,0.1977049581578158,0.3919753086419753,0.451048781792285,0.0,-0.1569759095657397
wisdm_watch_accel,cnn1d,subject_disjoint,20260917,raw_sensor_windows,wisdm_1635,324,1,iso,0.5771604938271605,0.5131729102245439,0.5365930185165105,1.2626653786938973,0.12502656650294086,-0.06377932522619412,0.1932417398739243,0.4228395061728395,0.5133811686009664,0.0,-0.06377932522619412
wisdm_watch_accel,cnn1d,subject_disjoint,20260917,raw_sensor_windows,wisdm_1636,324,1,raw,0.1111111111111111,0.04303998187790237,1.1540773647988136,5.197108008993809,0.40937893203011266,0.4093789320301126,0.824534149037367,0.8888888888888888,0.5204900431412237,0.4093789320301126,0.0
wisdm_watch_accel,cnn1d,subject_disjoint,20260917,raw_sensor_windows,wisdm_1636,324,1,temp,0.1111111111111111,0.04303998187790237,1.0078520966961586,3.685797441714906,0.2660555731553745,0.23136372685100626,0.816243878439315,0.8888888888888888,0.34247483796211736,0.23136372685100626,0.0
wisdm_watch_accel,cnn1d,subject_disjoint,20260917,raw_sensor_windows,wisdm_1636,324,1,iso,0.14506172839506173,0.08954264126677919,1.043327664853764,3.467516147700886,0.2937553862990701,0.2739856078091151,0.8026687836732697,0.8549382716049383,0.41904733620417683,0.2739856078091151,0.0
wisdm_watch_accel,cnn1d,subject_disjoint,20260917,raw_sensor_windows,wisdm_1637,748,1,raw,0.13368983957219252,0.13182853238634173,1.253624963497401,5.799718072948495,0.478954755706105,0.478954755706105,0.7601742051136254,0.8663101604278075,0.6126445952782975,0.478954755706105,0.0
wisdm_watch_accel,cnn1d,subject_disjoint,20260917,raw_sensor_windows,wisdm_1637,748,1,temp,0.13368983957219252,0.13182853238634173,1.2209274735829927,5.398489439081417,0.45131135983805326,0.45131135983805337,0.7592746121425955,0.8663101604278075,0.5850011994102459,0.45131135983805337,0.0
